t_years,capital,log_capital_deviation,tax_rate,ell_J_K,m_J_tau,nu_tax_speed,output,rental_rate,wage_income,fiscal_resources,lq_log_capital_deviation,lq_tax_rate
0.0,1.010050167084168,0.009999999999999893,0.51,0.9957214285489389,0.0005129351861402169,0.000721753326534752,0.3553396758161802,0.11961335556853944,0.23452418603867894,0.2549300390081705,0.009999999999999893,0.51
0.2,1.009890208083953,0.00984162007699243,0.5101398621899506,0.9958281758446391,0.000481130111704962,0.0006770367251509384,0.35532054158339704,0.11962585949572059,0.23451155744504207,0.25492621583837616,0.00983978964663204,0.5101392249268633
0.4,1.009730427191517,0.009683391457242275,0.5102708816478493,0.9959336946908843,0.00045004218246543805,0.0006333244798615347,0.3553014266587578,0.1196383527829105,0.23449894159478016,0.2549220493288532,0.009679762880479623,0.5102695239057846
0.6000000000000001,1.0095708923148654,0.009525381480779188,0.5103932583182649,0.9960379725456244,0.0004196646716920805,0.0005906072796471698,0.35528233917366303,0.11965083010869088,0.2344863438546176,0.2549175513187541,0.009519989261345323,0.5103911031834103
0.8,1.0094116692733288,0.009367655460856252,0.5105071902642669,0.9961409977981468,0.00038999072526614987,0.0005488756360742764,0.3552632870129569,0.11966328630950065,0.23447376942855155,0.25491273345588733,0.009360536146747145,0.5105041669184923
1.0,1.009252821828475,0.00921027671279585,0.5106128736327096,0.9962427597477717,0.000361013368248053,0.000508119892127462,0.35524427781848456,0.11967571637744909,0.2344612233601998,0.25490760719721994,0.009201468726290874,0.5106089171486703
1.2000000000000002,1.009094411720478,0.009053306588241408,0.5107105026270217,0.9963432485803424,0.00033272551160920197,0.00046833023129113754,0.35522531899330145,0.11968811545770201,0.23444871053557897,0.2549021838099787,0.009042850056029816,0.5107055537592416
1.4000000000000001,1.0089364986896878,0.008896804494742193,0.5108002694668635,0.9964424553514708,0.00030511995802004704,0.0004294966853248311,0.35520641770411204,0.11970047884702663,0.23443623568471397,0.25489647437133295,0.008884741092796055,0.5107942744538777
1.6,1.0087791405164792,0.008740827933456728,0.5108823643679821,0.9965403719618583,0.0002781894085291181,0.0003916091433085409,0.35518758088589664,0.11971280199090524,0.2344238033846918,0.25489048976994344,0.008727200728487995,0.5108752747272398
1.8,1.0086223930463796,0.008585432522273456,0.5109569755087767,0.9966369911393113,0.00025192646831967446,0.00035465735941097627,0.3551688152447762,0.1197250804818004,0.23441141806155233,0.2548842407060923,0.00857028582429941,0.5109487478394515
2.0,1.0084663102208196,0.008430672024513596,0.5110242890040361,0.9967323064184175,0.00022632365267526847,0.0003186309609690658,0.3551501272615517,0.11973731005697873,0.23439908399262413,0.254877737692414,0.008414051244875712,0.5110148847923848
2.2,1.0083109441128817,0.008276598382606738,0.5110844888863758,0.9968263121183139,0.00020137339302886396,0.00028351945670254317,0.35513152319584285,0.11974948659594141,0.2343868053092563,0.2548709910552143,0.008258549892383556,0.5110738743077134
2.4000000000000004,1.008156344949302,0.008123261738148257,0.5111377570733951,0.9969190033264619,0.00017706804229542105,0.00024931224393873446,0.35511300908858173,0.11976160611892935,0.23437458599846395,0.2548640109343895,0.008103832740480467,0.5111259028066962
2.6,1.0080025611493437,0.007970710468710509,0.5111842733561076,0.9970103758754586,0.00015339988082023923,0.0002159986167194223,0.35509459076652905,0.11977366478410409,0.2343624299059092,0.25485680728518006,0.00794994886817146,0.5111711543916418
