public_net_worth_to_fiscal_wealth,public_net_worth,comprehensive_resources,comprehensive_resources_positive,fiscal_wealth,risk_scale_epsilon,lambda_hat,beta_hat,zeta_j,zeta_j_perp,marketed_fiscal_wealth_amount,return_demand_component,fiscal_hedge_component,leading_unconstrained_position,leading_constrained_position,portfolio_curvature,portfolio_gradient_y,portfolio_bounds,portfolio_lower_slack,portfolio_upper_slack,zero_position_feasible,merton_position,merton_comparator_feasible,access_source_gain_q,hedge_source_gain_q,access_value_leading,hedge_value_leading,access_consumption_equivalent_leading,hedge_consumption_equivalent_leading,varpi_ee,safe_rate_order_two_anchor,g2_anchor,v2_anchor,worker_consumption,wage_income,transfer,transfer_feasible,portfolio_bound_feasible,feasible,failure_reasons,residual_safe_position,merton_misallocation_consumption_equivalent
-0.15,-1.8853725479525651,10.683777771731203,True,12.569150319683768,1.0,"[0.0259674276779601, 0.048439039353357735]",0.0030206478336862273,"[0.33765631945205354, 0.5749540848601218]","[0.02286199744272266, -0.012255966945109442]",12.122660970247473,10.683777771731203,-12.122660970247473,-1.4388831985162707,-1.4388831985162707,-0.0013099081115797407,"[-12.642322214106523, -3.557382767559386, -1.032551156410937, 0.09866532271011884]","[-20.0, 18.114627452047436]",18.561116801483728,19.55351065056371,True,10.683777771731203,True,0.0013560069604299212,0.09625133348371723,0.06712006163916524,4.764278963753021,0.0013560069604299212,0.09625133348371723,"[[0.0, 0.0], [0.0, 3.48237849358059]]",-0.0024813002795870203,0.0019963358000769068,0.09881526117767969,0.21584123536770577,0.23372815782095793,-0.017886922453252158,False,True,False,"[""negative_transfer""]",-0.4464893494362945,0.09625133348371723
-0.12,-1.5082980383620521,11.060852281321715,True,12.569150319683768,1.0,"[0.0259674276779601, 0.048439039353357735]",0.0030206478336862273,"[0.33765631945205354, 0.5749540848601218]","[0.02286199744272266, -0.012255966945109442]",12.122660970247473,11.060852281321715,-12.122660970247473,-1.0618086889257583,-1.0618086889257583,-0.0012221185570975757,"[-12.642322214106523, -3.557382767559386, -1.032551156410937, 0.09866532271011884]","[-20.0, 18.491701961637947]",18.93819131107424,19.553510650563705,True,11.060852281321715,True,0.0006889312626078289,0.08980060490958898,0.03410093765058897,4.444978759441579,0.0006889312626078289,0.08980060490958898,"[[0.0, 0.0], [0.0, 3.48237849358059]]",-0.0024813002795870203,0.0018581326853592285,0.09197443967066164,0.22345916132186008,0.23372815782095793,-0.010268996499097849,False,True,False,"[""negative_transfer""]",-0.4464893494362938,0.08980060490958898
-0.085,-1.0683777771731204,11.500772542510648,True,12.569150319683768,1.0,"[0.0259674276779601, 0.048439039353357735]",0.0030206478336862273,"[0.33765631945205354, 0.5749540848601218]","[0.02286199744272266, -0.012255966945109442]",12.122660970247473,11.500772542510648,-12.122660970247473,-0.6218884277368257,-0.6218884277368257,-0.0011304113119130015,"[-12.642322214106523, -3.557382767559386, -1.032551156410937, 0.09866532271011884]","[-20.0, 18.93162222282688]",19.378111572263172,19.55351065056371,True,11.500772542510648,True,0.0002185905838098665,0.08306200655974882,0.010819865890959486,4.111429485874835,0.0002185905838098665,0.08306200655974882,"[[0.0, 0.0], [0.0, 3.48237849358059]]",-0.0024813002795870203,0.0017079667766790212,0.08454148000243016,0.23234674160170682,0.23372815782095793,-0.0013814162192511137,False,True,False,"[""negative_transfer""]",-0.4464893494362947,0.08306200655974882
-0.082,-1.030670326214069,11.538479993469698,True,12.569150319683768,1.0,"[0.0259674276779601, 0.048439039353357735]",0.0030206478336862273,"[0.33765631945205354, 0.5749540848601218]","[0.02286199744272266, -0.012255966945109442]",12.122660970247473,11.538479993469698,-12.122660970247473,-0.584180976777775,-0.584180976777775,-0.0011230350750855115,"[-12.642322214106523, -3.557382767559386, -1.032551156410937, 0.09866532271011884]","[-20.0, 18.969329673785932]",19.415819023222227,19.55351065056371,True,11.538479993469698,True,0.0001916276377445612,0.08252000470140365,0.009485245454127069,4.084601306372617,0.0001916276377445612,0.08252000470140365,"[[0.0, 0.0], [0.0, 3.48237849358059]]",-0.0024813002795870203,0.001695610505308379,0.08392986537195303,0.23310853419712224,0.23372815782095793,-0.0006196236238356911,False,True,False,"[""negative_transfer""]",-0.44648934943629404,0.08252000470140365
-0.07956,-1.0000015994340405,11.569148720249727,True,12.569150319683768,1.0,"[0.0259674276779601, 0.048439039353357735]",0.0030206478336862273,"[0.33765631945205354, 0.5749540848601218]","[0.02286199744272266, -0.012255966945109442]",12.122660970247473,11.569148720249727,-12.122660970247473,-0.5535122499977465,-0.5535122499977465,-0.0011170888459573192,"[-12.642322214106523, -3.557382767559386, -1.032551156410937, 0.09866532271011884]","[-20.0, 18.99999840056596]",19.446487750002255,19.55351065056371,True,11.569148720249727,True,0.00017112450051240202,0.08208307902873338,0.008470374679140432,4.062974221160559,0.00017112450051240202,0.08208307902873338,"[[0.0, 0.0], [0.0, 3.48237849358059]]",-0.0024813002795870203,0.0016856181680664495,0.08343526150105181,0.23372812550806013,0.23372815782095793,-3.23128978019227e-08,False,True,False,"[""negative_transfer""]",-0.44648934943629404,0.08208307902873338
-0.077,-0.9678245746156501,11.601325745068118,True,12.569150319683768,1.0,"[0.0259674276779601, 0.048439039353357735]",0.0030206478336862273,"[0.33765631945205354, 0.5749540848601218]","[0.02286199744272266, -0.012255966945109442]",12.122660970247473,11.601325745068118,-12.122660970247473,-0.5213352251793548,-0.5213352251793548,-0.0011109008034899182,"[-12.642322214106523, -3.557382767559386, -1.032551156410937, 0.09866532271011884]","[-20.0, 19.03217542538435]",19.478664774820643,19.5535106505637,True,11.601325745068118,True,0.00015096609632019525,0.08162838504380726,0.007472567609256996,4.040467634405633,0.00015096609632019525,0.08162838504380726,"[[0.0, 0.0], [0.0, 3.48237849358059]]",-0.0024813002795870203,0.0016751893218226554,0.08291905116944193,0.23437818852281464,0.23372815782095793,0.0006500307018567075,True,True,True,[],-0.44648934943629526,0.08162838504380726
-0.074,-0.9301171236565988,11.63903319602717,True,12.569150319683768,1.0,"[0.0259674276779601, 0.048439039353357735]",0.0030206478336862273,"[0.33765631945205354, 0.5749540848601218]","[0.02286199744272266, -0.012255966945109442]",12.122660970247473,11.63903319602717,-12.122660970247473,-0.4836277742203041,-0.4836277742203041,-0.0011037144020548243,"[-12.642322214106523, -3.557382767559386, -1.032551156410937, 0.09866532271011884]","[-20.0, 19.0698828763434]",19.516372225779698,19.5535106505637,True,11.63903319602717,True,0.00012907709476314195,0.08110033218654014,0.006389098883356507,4.014329906972974,0.00012907709476314195,0.08110033218654014,"[[0.0, 0.0], [0.0, 3.48237849358059]]",-0.0024813002795870203,0.0016630389846610716,0.08231762993561317,0.23513998111823006,0.23372815782095793,0.00141182329727213,True,True,True,[],-0.4464893494362947,0.08110033218654014
-0.06,-0.7541490191810261,11.815001300502741,True,12.569150319683768,1.0,"[0.0259674276779601, 0.048439039353357735]",0.0030206478336862273,"[0.33765631945205354, 0.5749540848601218]","[0.02286199744272266, -0.012255966945109442]",12.122660970247473,11.815001300502741,-12.122660970247473,-0.3076596697447318,-0.3076596697447318,-0.0010710826285834796,"[-12.642322214106523, -3.557382767559386, -1.032551156410937, 0.09866532271011884]","[-20.0, 19.245850980818975]",19.69234033025527,19.55351065056371,True,11.815001300502741,True,5.0691380545959415e-05,0.07870256727250531,0.002509137995678463,3.8956445804793547,5.0691380545959415e-05,0.07870256727250531,"[[0.0, 0.0], [0.0, 3.48237849358059]]",-0.0024813002795870203,0.0016073296456163419,0.07956011144221702,0.23869501323016873,0.23372815782095793,0.004966855409210796,True,True,True,[],-0.44648934943629426,0.07870256727250531
-0.045,-0.5656117643857695,12.003538555297999,True,12.569150319683768,1.0,"[0.0259674276779601, 0.048439039353357735]",0.0030206478336862273,"[0.33765631945205354, 0.5749540848601218]","[0.02286199744272266, -0.012255966945109442]",12.122660970247473,12.003538555297999,-12.122660970247473,-0.11912241494947473,-0.11912241494947473,-0.001037700293979181,"[-12.642322214106523, -3.557382767559386, -1.032551156410937, 0.09866532271011884]","[-20.0, 19.43438823561423]",19.880877585050527,19.5535106505637,True,12.003538555297999,True,7.3625612801649145e-06,0.07624965153585231,0.00036443438814659355,3.774229381115165,7.3625612801649145e-06,0.07624965153585231,"[[0.0, 0.0], [0.0, 3.48237849358059]]",-0.0024813002795870203,0.0015493958404603362,0.07669248562130704,0.24250397620724592,0.23372815782095793,0.008775818386287992,True,True,True,[],-0.4464893494362948,0.07624965153585231
-0.04,-0.5027660127873508,12.066384306896417,True,12.569150319683768,1.0,"[0.0259674276779601, 0.048439039353357735]",0.0030206478336862273,"[0.33765631945205354, 0.5749540848601218]","[0.02286199744272266, -0.012255966945109442]",12.122660970247473,12.066384306896417,-12.122660970247473,-0.0562766633510563,-0.0562766633510563,-0.001026919065338935,"[-12.642322214106523, -3.557382767559386, -1.032551156410937, 0.09866532271011884]","[-20.0, 19.49723398721265]",19.943723336648944,19.553510650563705,True,12.066384306896417,True,1.6261586046974598e-06,0.07545745273652961,8.049211321728554e-05,3.735016874252992,1.6261586046974598e-06,0.07545745273652961,"[[0.0, 0.0], [0.0, 3.48237849358059]]",-0.0024813002795870203,0.0015304741489087787,0.07575589374507129,0.2437736305329383,0.23372815782095793,0.010045472711980363,True,True,True,[],-0.4464893494362945,0.07545745273652961
